分拣中心,日期,小时,货量
SC1,2023-12-11,12,2754.756936507936
SC1,2023-12-11,13,2317.9487420634923
SC1,2023-12-11,14,331.0019166666667
SC1,2023-12-11,15,737.9200952380952
SC1,2023-12-11,16,1149.980841269842
SC1,2023-12-11,17,1104.4595793650792
SC1,2023-12-11,18,1338.4439285714284
SC1,2023-12-11,19,2294.0401468253967
SC1,2023-12-11,20,3369.1476190476183
SC1,2023-12-11,21,3105.7471865079365
SC1,2023-12-11,22,3366.0858470418457
SC1,2023-12-11,23,3582.2102103174607
SC1,2023-12-12,0,3432.8090476190478
SC1,2023-12-12,1,3596.7519960317454
SC1,2023-12-12,2,3579.30948015873
SC1,2023-12-12,3,3402.238880952382
SC1,2023-12-12,4,2853.917662698413
SC1,2023-12-12,5,2201.411162698412
SC1,2023-12-12,6,45.36815079365079
SC1,2023-12-12,7,1246.3368917748917
SC1,2023-12-12,8,2154.98196031746
SC1,2023-12-12,9,1952.083052669552
SC1,2023-12-12,10,1844.1570476190475
SC1,2023-12-12,11,1841.467130952381
SC1,2023-12-12,12,2382.044865079365
SC1,2023-12-12,13,2313.963674603176
SC1,2023-12-12,14,173.20651190476198
SC1,2023-12-12,15,310.3811428571428
SC1,2023-12-12,16,1018.5911904761904
SC1,2023-12-12,17,1075.3928358585858
SC1,2023-12-12,18,1300.724380952381
SC1,2023-12-12,19,2077.057095238096
SC1,2023-12-12,20,3329.799193722944
SC1,2023-12-12,21,3111.6423333333328
SC1,2023-12-12,22,3179.060703102454
SC1,2023-12-12,23,3288.8487770562783
SC1,2023-12-13,0,3984.315384920635
SC1,2023-12-13,1,3678.051484848485
SC1,2023-12-13,2,3414.746670634924
SC1,2023-12-13,3,3733.937591630593
SC1,2023-12-13,4,3255.0418982683973
SC1,2023-12-13,5,2488.274928571428
SC1,2023-12-13,6,494.45049603174607
SC1,2023-12-13,7,1705.9872054334553
SC1,2023-12-13,8,2427.4708575036075
SC1,2023-12-13,9,2116.707687590188
SC1,2023-12-13,10,2200.076317460317
SC1,2023-12-13,11,2480.0201576479067
SC1,2023-12-13,12,2897.8606394993885
SC1,2023-12-13,13,3015.79078102453
SC1,2023-12-13,14,800.9634722222222
SC1,2023-12-13,15,1008.0046889499388
SC1,2023-12-13,16,1348.224516955267
SC1,2023-12-13,17,1546.7853095238097
SC1,2023-12-13,18,1688.0406038961044
SC1,2023-12-13,19,2632.8704613997124
SC1,2023-12-13,20,3370.4554206349208
SC1,2023-12-13,21,3423.1774000721502
SC1,2023-12-13,22,3771.648130952381
SC1,2023-12-13,23,3820.117317460319
SC1,2023-12-14,0,3577.07182792208
SC1,2023-12-14,1,3551.6478795093785
SC1,2023-12-14,2,3796.034940476189
SC1,2023-12-14,3,3584.625541125541
SC1,2023-12-14,4,3633.3162723665214
SC1,2023-12-14,5,2966.127980158732
SC1,2023-12-14,6,408.3183690476191
SC1,2023-12-14,7,1179.30563997114
SC1,2023-12-14,8,2365.0665230880227
SC1,2023-12-14,9,2015.3794325396825
SC1,2023-12-14,10,1700.5434558497052
SC1,2023-12-14,11,2185.824177128427
SC1,2023-12-14,12,3092.805873015874
SC1,2023-12-14,13,2702.5681562049062
SC1,2023-12-14,14,564.7606190476189
SC1,2023-12-14,15,906.7156522366522
SC1,2023-12-14,16,1181.7573228715728
SC1,2023-12-14,17,1301.423995310245
SC1,2023-12-14,18,1439.62603066378
SC1,2023-12-14,19,2198.772674603175
SC1,2023-12-14,20,2855.864746392496
SC1,2023-12-14,21,2992.8261847041845
SC1,2023-12-14,22,3727.8521593684086
SC1,2023-12-14,23,3592.859631132756
SC1,2023-12-15,0,3616.277689033189
SC1,2023-12-15,1,3870.555043650793
SC1,2023-12-15,2,3656.7861150793656
SC1,2023-12-15,3,3614.0429404761903
SC1,2023-12-15,4,3531.494714285714
SC1,2023-12-15,5,2576.385750000001
SC1,2023-12-15,6,354.2269246031746
SC1,2023-12-15,7,1558.3918571428576
SC1,2023-12-15,8,2350.721817460317
SC1,2023-12-15,9,1608.011753968254
SC1,2023-12-15,10,1481.511884920634
SC1,2023-12-15,11,2310.122154761905
SC1,2023-12-15,12,2773.1742694805203
SC1,2023-12-15,13,2309.0531825396824
SC1,2023-12-15,14,190.09418506493512
SC1,2023-12-15,15,446.8016984126984
SC1,2023-12-15,16,1115.3349325396823
SC1,2023-12-15,17,1080.1196626984126
SC1,2023-12-15,18,1127.377531746032
SC1,2023-12-15,19,2043.6170833333335
SC1,2023-12-15,20,3200.1783412698405
SC1,2023-12-15,21,3348.5510674603165
SC1,2023-12-15,22,3538.2494733044737
SC1,2023-12-15,23,3739.762603174602
SC1,2023-12-16,0,4374.375857142858
SC1,2023-12-16,1,3927.2947857142863
SC1,2023-12-16,2,3765.6326666666655
SC1,2023-12-16,3,3719.8883174603175
SC1,2023-12-16,4,3614.303174603175
SC1,2023-12-16,5,2905.603984126984
SC1,2023-12-16,6,657.6298506493507
SC1,2023-12-16,7,1759.6483174603172
SC1,2023-12-16,8,2668.91961904762
SC1,2023-12-16,9,2746.7947023809525
SC1,2023-12-16,10,2328.767892857144
SC1,2023-12-16,11,2672.1466071428567
SC1,2023-12-16,12,3158.376486291485
SC1,2023-12-16,13,2821.1709285714287
SC1,2023-12-16,14,681.0751785714288
SC1,2023-12-16,15,1340.2413888888889
SC1,2023-12-16,16,1804.7270119047612
SC1,2023-12-16,17,1664.0179801587303
SC1,2023-12-16,18,1751.0834126984128
SC1,2023-12-16,19,2376.422404761905
SC1,2023-12-16,20,3366.942706349208
SC1,2023-12-16,21,3080.7850674603187
SC1,2023-12-16,22,3619.0389617604615
SC1,2023-12-16,23,4016.775507936507
SC1,2023-12-17,0,3553.050599206349
SC1,2023-12-17,1,3511.467983044733
SC1,2023-12-17,2,3814.315
SC1,2023-12-17,3,3700.160615079365
SC1,2023-12-17,4,3546.043706349205
SC1,2023-12-17,5,3338.622325396825
SC1,2023-12-17,6,644.7696352813854
SC1,2023-12-17,7,1811.4872063492064
SC1,2023-12-17,8,2574.860384920635
SC1,2023-12-17,9,2150.012535714286
SC1,2023-12-17,10,2015.8649920634928
SC1,2023-12-17,11,2409.5621666666666
SC1,2023-12-17,12,2951.080011904761
SC1,2023-12-17,13,2303.726595238096
SC1,2023-12-17,14,535.6405992063492
SC1,2023-12-17,15,943.003119047619
SC1,2023-12-17,16,1447.3074346764345
SC1,2023-12-17,17,1607.630793650794
SC1,2023-12-17,18,1652.722365079365
SC1,2023-12-17,19,2426.6375595238096
SC1,2023-12-17,20,3215.5178809523813
SC1,2023-12-17,21,3281.664527777777
SC1,2023-12-17,22,3568.368322871574
SC1,2023-12-17,23,3752.935777777777
SC1,2023-12-18,0,3444.847988095238
SC1,2023-12-18,1,3660.1570119047615
SC1,2023-12-18,2,3502.414960317459
SC1,2023-12-18,3,3423.9458531746022
SC1,2023-12-18,4,3388.993920995671
SC1,2023-12-18,5,1882.87619047619
SC1,2023-12-18,6,446.6541150793652
SC1,2023-12-18,7,1625.1135873015874
SC1,2023-12-18,8,2330.7730714285717
SC1,2023-12-18,9,1473.715111111111
SC1,2023-12-18,10,1322.466123015873
SC1,2023-12-18,11,1458.544869047619
SC1,2023-12-18,12,2754.756936507936
SC1,2023-12-18,13,2317.9487420634923
SC1,2023-12-18,14,331.0019166666667
SC1,2023-12-18,15,737.9200952380952
SC1,2023-12-18,16,1149.980841269842
SC1,2023-12-18,17,1104.4595793650792
SC1,2023-12-18,18,1338.4439285714284
SC1,2023-12-18,19,2294.0401468253967
SC1,2023-12-18,20,3369.1476190476183
SC1,2023-12-18,21,3105.7471865079365
SC1,2023-12-18,22,3366.0858470418457
SC1,2023-12-18,23,3582.2102103174607
SC1,2023-12-19,0,3432.8090476190478
SC1,2023-12-19,1,3596.7519960317454
SC1,2023-12-19,2,3579.30948015873
SC1,2023-12-19,3,3402.238880952382
SC1,2023-12-19,4,2853.917662698413
SC1,2023-12-19,5,2201.411162698412
SC1,2023-12-19,6,45.36815079365079
SC1,2023-12-19,7,1246.3368917748917
SC1,2023-12-19,8,2154.98196031746
SC1,2023-12-19,9,1952.083052669552
SC1,2023-12-19,10,1844.1570476190475
SC1,2023-12-19,11,1841.467130952381
SC1,2023-12-19,12,2382.044865079365
SC1,2023-12-19,13,2313.963674603176
SC1,2023-12-19,14,173.20651190476198
SC1,2023-12-19,15,310.3811428571428
SC1,2023-12-19,16,1018.5911904761904
SC1,2023-12-19,17,1075.3928358585858
SC1,2023-12-19,18,1300.724380952381
SC1,2023-12-19,19,2077.057095238096
SC1,2023-12-19,20,3329.799193722944
SC1,2023-12-19,21,3111.6423333333328
SC1,2023-12-19,22,3179.060703102454
SC1,2023-12-19,23,3288.8487770562783
SC1,2023-12-20,0,3984.315384920635
SC1,2023-12-20,1,3678.051484848485
SC1,2023-12-20,2,3414.746670634924
SC1,2023-12-20,3,3733.937591630593
SC1,2023-12-20,4,3255.0418982683973
SC1,2023-12-20,5,2488.274928571428
SC1,2023-12-20,6,494.45049603174607
SC1,2023-12-20,7,1705.9872054334553
SC1,2023-12-20,8,2427.4708575036075
SC1,2023-12-20,9,2116.707687590188
SC1,2023-12-20,10,2200.076317460317
SC1,2023-12-20,11,2480.0201576479067
SC1,2023-12-20,12,2897.8606394993885
SC1,2023-12-20,13,3015.79078102453
SC1,2023-12-20,14,800.9634722222222
SC1,2023-12-20,15,1008.0046889499388
SC1,2023-12-20,16,1348.224516955267
SC1,2023-12-20,17,1546.7853095238097
SC1,2023-12-20,18,1688.0406038961044
SC1,2023-12-20,19,2632.8704613997124
SC1,2023-12-20,20,3370.4554206349208
SC1,2023-12-20,21,3423.1774000721502
SC1,2023-12-20,22,3771.648130952381
SC1,2023-12-20,23,3820.117317460319
SC1,2023-12-21,0,3577.07182792208
SC1,2023-12-21,1,3551.6478795093785
SC1,2023-12-21,2,3796.034940476189
SC1,2023-12-21,3,3584.625541125541
SC1,2023-12-21,4,3633.3162723665214
SC1,2023-12-21,5,2966.127980158732
SC1,2023-12-21,6,408.3183690476191
SC1,2023-12-21,7,1179.30563997114
SC1,2023-12-21,8,2365.0665230880227
SC1,2023-12-21,9,2015.3794325396825
SC1,2023-12-21,10,1700.5434558497052
SC1,2023-12-21,11,2185.824177128427
SC1,2023-12-21,12,3092.805873015874
SC1,2023-12-21,13,2702.5681562049062
SC1,2023-12-21,14,564.7606190476189
SC1,2023-12-21,15,906.7156522366522
SC1,2023-12-21,16,1181.7573228715728
SC1,2023-12-21,17,1301.423995310245
SC1,2023-12-21,18,1439.62603066378
SC1,2023-12-21,19,2198.772674603175
SC1,2023-12-21,20,2855.864746392496
SC1,2023-12-21,21,2992.8261847041845
SC1,2023-12-21,22,3727.8521593684086
SC1,2023-12-21,23,3592.859631132756
SC1,2023-12-22,0,3616.277689033189
SC1,2023-12-22,1,3870.555043650793
SC1,2023-12-22,2,3656.7861150793656
SC1,2023-12-22,3,3614.0429404761903
SC1,2023-12-22,4,3531.494714285714
SC1,2023-12-22,5,2576.385750000001
SC1,2023-12-22,6,354.2269246031746
SC1,2023-12-22,7,1558.3918571428576
SC1,2023-12-22,8,2350.721817460317
SC1,2023-12-22,9,1608.011753968254
SC1,2023-12-22,10,1481.511884920634
SC1,2023-12-22,11,2310.122154761905
SC1,2023-12-22,12,2773.1742694805203
SC1,2023-12-22,13,2309.0531825396824
SC1,2023-12-22,14,190.09418506493512
SC1,2023-12-22,15,446.8016984126984
SC1,2023-12-22,16,1115.3349325396823
SC1,2023-12-22,17,1080.1196626984126
SC1,2023-12-22,18,1127.377531746032
SC1,2023-12-22,19,2043.6170833333335
SC1,2023-12-22,20,3200.1783412698405
SC1,2023-12-22,21,3348.5510674603165
SC1,2023-12-22,22,3538.2494733044737
SC1,2023-12-22,23,3739.762603174602
SC1,2023-12-23,0,4374.375857142858
SC1,2023-12-23,1,3927.2947857142863
SC1,2023-12-23,2,3765.6326666666655
SC1,2023-12-23,3,3719.8883174603175
SC1,2023-12-23,4,3614.303174603175
SC1,2023-12-23,5,2905.603984126984
SC1,2023-12-23,6,657.6298506493507
SC1,2023-12-23,7,1759.6483174603172
SC1,2023-12-23,8,2668.91961904762
SC1,2023-12-23,9,2746.7947023809525
SC1,2023-12-23,10,2328.767892857144
SC1,2023-12-23,11,2672.1466071428567
SC1,2023-12-23,12,3158.376486291485
SC1,2023-12-23,13,2821.1709285714287
SC1,2023-12-23,14,681.0751785714288
SC1,2023-12-23,15,1340.2413888888889
SC1,2023-12-23,16,1804.7270119047612
SC1,2023-12-23,17,1664.0179801587303
SC1,2023-12-23,18,1751.0834126984128
SC1,2023-12-23,19,2376.422404761905
SC1,2023-12-23,20,3366.942706349208
SC1,2023-12-23,21,3080.7850674603187
SC1,2023-12-23,22,3619.0389617604615
SC1,2023-12-23,23,4016.775507936507
SC1,2023-12-24,0,3553.050599206349
SC1,2023-12-24,1,3511.467983044733
SC1,2023-12-24,2,3814.315
SC1,2023-12-24,3,3700.160615079365
SC1,2023-12-24,4,3546.043706349205
SC1,2023-12-24,5,3338.622325396825
SC1,2023-12-24,6,644.7696352813854
SC1,2023-12-24,7,1811.4872063492064
SC1,2023-12-24,8,2574.860384920635
SC1,2023-12-24,9,2150.012535714286
SC1,2023-12-24,10,2015.8649920634928
SC1,2023-12-24,11,2409.5621666666666
SC1,2023-12-24,12,2951.080011904761
SC1,2023-12-24,13,2303.726595238096
SC1,2023-12-24,14,535.6405992063492
SC1,2023-12-24,15,943.003119047619
SC1,2023-12-24,16,1447.3074346764345
SC1,2023-12-24,17,1607.630793650794
SC1,2023-12-24,18,1652.722365079365
SC1,2023-12-24,19,2426.6375595238096
SC1,2023-12-24,20,3215.5178809523813
SC1,2023-12-24,21,3281.664527777777
SC1,2023-12-24,22,3568.368322871574
SC1,2023-12-24,23,3752.935777777777
SC1,2023-12-25,0,3444.847988095238
SC1,2023-12-25,1,3660.1570119047615
SC1,2023-12-25,2,3502.414960317459
SC1,2023-12-25,3,3423.9458531746022
SC1,2023-12-25,4,3388.993920995671
SC1,2023-12-25,5,1882.87619047619
SC1,2023-12-25,6,446.6541150793652
SC1,2023-12-25,7,1625.1135873015874
SC1,2023-12-25,8,2330.7730714285717
SC1,2023-12-25,9,1473.715111111111
SC1,2023-12-25,10,1322.466123015873
SC1,2023-12-25,11,1458.544869047619
SC1,2023-12-25,12,2754.756936507936
SC1,2023-12-25,13,2317.9487420634923
SC1,2023-12-25,14,331.0019166666667
SC1,2023-12-25,15,737.9200952380952
SC1,2023-12-25,16,1149.980841269842
SC1,2023-12-25,17,1104.4595793650792
SC1,2023-12-25,18,1338.4439285714284
SC1,2023-12-25,19,2294.0401468253967
SC1,2023-12-25,20,3369.1476190476183
SC1,2023-12-25,21,3105.7471865079365
SC1,2023-12-25,22,3366.0858470418457
SC1,2023-12-25,23,3582.2102103174607
SC1,2023-12-26,0,3432.8090476190478
SC1,2023-12-26,1,3596.7519960317454
SC1,2023-12-26,2,3579.30948015873
SC1,2023-12-26,3,3402.238880952382
SC1,2023-12-26,4,2853.917662698413
SC1,2023-12-26,5,2201.411162698412
SC1,2023-12-26,6,45.36815079365079
SC1,2023-12-26,7,1246.3368917748917
SC1,2023-12-26,8,2154.98196031746
SC1,2023-12-26,9,1952.083052669552
SC1,2023-12-26,10,1844.1570476190475
SC1,2023-12-26,11,1841.467130952381
SC1,2023-12-26,12,2382.044865079365
SC1,2023-12-26,13,2313.963674603176
SC1,2023-12-26,14,173.20651190476198
SC1,2023-12-26,15,310.3811428571428
SC1,2023-12-26,16,1018.5911904761904
SC1,2023-12-26,17,1075.3928358585858
SC1,2023-12-26,18,1300.724380952381
SC1,2023-12-26,19,2077.057095238096
SC1,2023-12-26,20,3329.799193722944
SC1,2023-12-26,21,3111.6423333333328
SC1,2023-12-26,22,3179.060703102454
SC1,2023-12-26,23,3288.8487770562783
SC1,2023-12-27,0,3984.315384920635
SC1,2023-12-27,1,3678.051484848485
SC1,2023-12-27,2,3414.746670634924
SC1,2023-12-27,3,3733.937591630593
SC1,2023-12-27,4,3255.0418982683973
SC1,2023-12-27,5,2488.274928571428
SC1,2023-12-27,6,494.45049603174607
SC1,2023-12-27,7,1705.9872054334553
SC1,2023-12-27,8,2427.4708575036075
SC1,2023-12-27,9,2116.707687590188
SC1,2023-12-27,10,2200.076317460317
SC1,2023-12-27,11,2480.0201576479067
SC1,2023-12-27,12,2897.8606394993885
SC1,2023-12-27,13,3015.79078102453
SC1,2023-12-27,14,800.9634722222222
SC1,2023-12-27,15,1008.0046889499388
SC1,2023-12-27,16,1348.224516955267
SC1,2023-12-27,17,1546.7853095238097
SC1,2023-12-27,18,1688.0406038961044
SC1,2023-12-27,19,2632.8704613997124
SC1,2023-12-27,20,3370.4554206349208
SC1,2023-12-27,21,3423.1774000721502
SC1,2023-12-27,22,3771.648130952381
SC1,2023-12-27,23,3820.117317460319
SC1,2023-12-28,0,3577.07182792208
SC1,2023-12-28,1,3551.6478795093785
SC1,2023-12-28,2,3796.034940476189
SC1,2023-12-28,3,3584.625541125541
SC1,2023-12-28,4,3633.3162723665214
