center,日期,hour,value
SC54,2023/11/2,0,163.0
SC54,2023/11/25,19,494.0
SC54,2023/11/21,6,107.0
SC54,2023/11/12,21,1390.0
SC54,2023/11/7,9,521.0
SC54,2023/11/30,7,117.0
SC54,2023/11/6,11,693.0
SC54,2023/11/23,9,430.0
SC54,2023/11/12,20,1182.0
SC54,2023/11/16,13,650.0
SC54,2023/11/9,22,963.0
SC54,2023/11/17,15,650.0
SC54,2023/11/6,10,619.0
SC54,2023/11/20,22,677.0
SC54,2023/11/30,2,87.0
SC54,2023/11/3,7,139.0
SC54,2023/11/17,17,398.0
SC54,2023/11/15,16,785.0
SC54,2023/11/11,22,1747.75
SC54,2023/11/29,11,520.0
SC54,2023/11/30,15,539.0
SC54,2023/11/24,19,521.0
SC54,2023/11/27,19,711.0
SC54,2023/11/2,23,1523.0
SC54,2023/11/1,17,713.0
SC54,2023/11/29,4,77.0
SC54,2023/11/30,6,59.0
SC54,2023/11/7,22,954.0
SC54,2023/11/22,18,554.0
SC54,2023/11/28,6,75.0
SC54,2023/11/21,16,1052.0
SC54,2023/11/26,23,680.0
SC54,2023/11/14,6,89.0
SC54,2023/11/18,13,430.0
SC54,2023/11/1,1,511.0
SC54,2023/11/10,5,116.0
SC54,2023/11/18,23,630.0
SC54,2023/11/10,12,252.0
SC54,2023/11/27,5,71.0
SC54,2023/11/21,11,548.0
SC54,2023/11/10,17,618.0
SC54,2023/11/20,21,624.0
SC54,2023/11/29,8,144.0
SC54,2023/11/24,2,83.0
SC54,2023/11/26,4,69.0
SC54,2023/11/30,14,211.0
SC54,2023/11/29,0,83.0
SC54,2023/11/8,1,241.0
SC54,2023/11/28,14,60.0
SC54,2023/11/22,20,546.0
SC54,2023/11/24,4,70.0
SC54,2023/11/2,16,1143.0
SC54,2023/11/1,13,1455.0
SC54,2023/11/14,15,469.0
SC54,2023/11/20,15,434.0
SC54,2023/11/23,6,73.0
SC54,2023/11/10,23,1834.375
SC54,2023/11/13,17,248.0
SC54,2023/11/27,1,81.0
SC54,2023/11/21,14,153.0
SC54,2023/11/13,3,462.0
SC54,2023/11/7,20,694.0
SC54,2023/11/5,5,232.0
SC54,2023/11/22,16,959.0
SC54,2023/11/26,12,113.0
SC54,2023/11/26,18,808.0
SC54,2023/11/16,7,195.0
SC54,2023/11/10,14,872.0
SC54,2023/11/1,3,590.875
SC54,2023/11/23,17,133.0
SC54,2023/11/14,1,94.0
SC54,2023/11/19,14,197.0
SC54,2023/11/28,7,100.0
SC54,2023/11/1,12,634.875
SC54,2023/11/28,0,92.0
SC54,2023/11/30,22,694.0
SC54,2023/11/4,22,1243.0
SC54,2023/11/7,8,136.0
SC54,2023/11/14,7,106.0
SC54,2023/11/24,12,114.0
SC54,2023/11/15,23,895.0
SC54,2023/11/15,13,638.0
SC54,2023/11/2,5,375.0
SC54,2023/11/10,18,685.0
SC54,2023/11/22,22,659.0
SC54,2023/11/22,7,117.0
SC54,2023/11/13,23,990.0
SC54,2023/11/23,8,136.0
SC54,2023/11/5,2,390.0
SC54,2023/11/25,6,70.0
SC54,2023/11/5,7,274.5
SC54,2023/11/1,23,1297.0
SC54,2023/11/6,17,179.0
SC54,2023/11/29,15,361.0
SC54,2023/11/12,6,347.125
SC54,2023/11/9,3,249.0
SC54,2023/11/23,2,99.0
SC54,2023/11/16,14,868.0
SC54,2023/11/10,0,72.0
SC54,2023/11/18,8,156.0
SC54,2023/11/7,17,359.0
SC54,2023/11/27,11,548.0
SC54,2023/11/20,8,161.0
SC54,2023/11/10,7,156.0
SC54,2023/11/2,6,347.125
SC54,2023/11/23,10,537.0
SC54,2023/11/16,22,689.0
SC54,2023/11/30,0,149.0
SC54,2023/11/22,8,178.0
SC54,2023/11/9,21,1177.0
SC54,2023/11/29,5,57.0
SC54,2023/11/8,6,139.0
SC54,2023/11/7,10,668.0
SC54,2023/11/13,5,246.0
SC54,2023/11/13,15,652.0
SC54,2023/11/14,8,51.0
SC54,2023/11/23,20,589.0
SC54,2023/11/5,15,679.0
SC54,2023/11/15,1,90.0
SC54,2023/11/6,8,131.0
SC54,2023/11/29,23,645.0
SC54,2023/11/24,10,609.0
SC54,2023/11/4,6,198.0
SC54,2023/11/27,7,103.0
SC54,2023/11/24,3,69.0
SC54,2023/11/13,10,529.0
SC54,2023/11/7,2,292.0
SC54,2023/11/18,21,524.0
SC54,2023/11/18,12,136.0
SC54,2023/11/27,22,699.0
SC54,2023/11/26,22,678.0
SC54,2023/11/3,20,897.0
SC54,2023/11/16,16,539.0
SC54,2023/11/27,9,472.0
SC54,2023/11/5,20,814.0
SC54,2023/11/16,18,588.0
SC54,2023/11/13,4,413.0
SC54,2023/11/2,15,1226.0
SC54,2023/11/13,13,582.0
SC54,2023/11/29,16,865.0
SC54,2023/11/5,22,1072.0
SC54,2023/11/19,15,277.0
SC54,2023/11/20,7,102.0
SC54,2023/11/26,15,225.0
SC54,2023/11/18,15,500.0
SC54,2023/11/14,22,705.0
SC54,2023/11/24,1,81.0
SC54,2023/11/25,10,497.0
SC54,2023/11/5,12,269.0
SC54,2023/11/25,4,64.0
SC54,2023/11/15,10,521.0
SC54,2023/11/10,15,642.0
SC54,2023/11/16,5,54.0
SC54,2023/11/9,8,143.0
SC54,2023/11/6,2,300.0
SC54,2023/11/29,10,501.0
SC54,2023/11/20,14,338.0
SC54,2023/11/22,14,188.0
SC54,2023/11/10,21,1792.625
SC54,2023/11/19,3,81.0
SC54,2023/11/27,18,511.0
SC54,2023/11/7,16,633.0
SC54,2023/11/21,15,279.0
SC54,2023/11/3,22,1107.0
SC54,2023/11/26,3,77.0
SC54,2023/11/14,14,654.0
SC54,2023/11/21,3,70.0
SC54,2023/11/15,4,91.0
SC54,2023/11/4,0,172.0
SC54,2023/11/3,12,289.0
SC54,2023/11/16,6,62.0
SC54,2023/11/29,6,67.0
SC54,2023/11/6,21,973.0
SC54,2023/11/8,7,152.0
SC54,2023/11/16,0,134.0
SC54,2023/11/12,18,1166.0
SC54,2023/11/28,22,642.0
SC54,2023/11/1,21,1380.0
SC54,2023/11/9,10,709.0
SC54,2023/11/19,18,482.0
SC54,2023/11/29,17,379.0
SC54,2023/11/16,21,660.0
SC54,2023/11/2,10,967.5
SC54,2023/11/15,0,13.0
SC54,2023/11/13,8,212.0
SC54,2023/11/15,22,696.0
SC54,2023/11/17,8,189.0
SC54,2023/11/16,3,79.0
SC54,2023/11/10,2,238.0
SC54,2023/11/16,20,562.0
SC54,2023/11/20,6,71.0
SC54,2023/11/16,15,505.0
SC54,2023/11/22,6,73.0
SC54,2023/11/18,16,416.0
SC54,2023/11/7,3,261.0
SC54,2023/11/21,7,113.0
SC54,2023/11/16,2,72.0
SC54,2023/11/20,9,402.0
SC54,2023/11/19,1,65.0
SC54,2023/11/14,20,532.0
SC54,2023/11/26,7,104.0
SC54,2023/11/16,8,137.0
SC54,2023/11/9,12,330.0
SC54,2023/11/14,17,168.0
SC54,2023/11/21,9,461.0
SC54,2023/11/28,1,98.0
SC54,2023/11/17,14,574.0
SC54,2023/11/27,13,472.0
SC54,2023/11/3,10,699.0
SC54,2023/11/30,4,79.0
SC54,2023/11/24,7,103.0
SC54,2023/11/19,8,126.0
SC54,2023/11/20,2,82.0
SC54,2023/11/20,20,592.0
SC54,2023/11/6,3,281.0
SC54,2023/11/5,6,195.0
SC54,2023/11/18,14,236.0
SC54,2023/11/27,4,80.0
SC54,2023/11/10,8,203.0
SC54,2023/11/19,19,471.0
SC54,2023/11/25,16,740.0
SC54,2023/11/8,18,1061.0
SC54,2023/11/24,21,573.0
SC54,2023/11/16,1,85.0
SC54,2023/11/15,5,78.0
SC54,2023/11/16,12,458.0
SC54,2023/11/12,14,1297.0
SC54,2023/11/4,16,661.0
SC54,2023/11/14,10,529.0
SC54,2023/11/22,10,557.0
SC54,2023/11/4,1,230.0
SC54,2023/11/2,13,1112.0
SC54,2023/11/6,20,725.0
SC54,2023/11/23,16,1056.0
SC54,2023/11/18,0,112.0
SC54,2023/11/5,13,820.0
SC54,2023/11/5,4,286.0
SC54,2023/11/24,9,446.0
SC54,2023/11/2,21,1276.0
SC54,2023/11/7,18,766.0
SC54,2023/11/12,23,1156.0
SC54,2023/11/2,17,713.0
SC54,2023/11/4,7,177.0
SC54,2023/11/6,22,1021.0
SC54,2023/11/24,8,119.0
SC54,2023/11/12,4,483.0
SC54,2023/11/15,3,86.0
SC54,2023/11/9,1,231.0
SC54,2023/11/4,15,766.0
SC54,2023/11/19,17,292.0
SC54,2023/11/28,5,61.0
SC54,2023/11/1,8,303.125
SC54,2023/11/6,7,132.0
SC54,2023/11/8,23,1211.0
SC54,2023/11/8,13,912.0
SC54,2023/11/5,14,667.0
SC54,2023/11/14,0,10.0
SC54,2023/11/23,1,67.0
SC54,2023/11/30,18,648.0
SC54,2023/11/15,11,542.0
SC54,2023/11/27,21,667.0
SC54,2023/11/19,10,454.0
SC54,2023/11/4,5,236.0
SC54,2023/11/3,18,920.0
SC54,2023/11/15,14,453.0
SC54,2023/11/9,5,163.0
SC54,2023/11/19,6,69.0
SC54,2023/11/7,11,632.0
SC54,2023/11/14,9,404.0
SC54,2023/11/6,4,207.0
SC54,2023/11/30,5,77.0
SC54,2023/11/8,4,196.0
SC54,2023/11/2,19,1234.5
SC54,2023/11/12,13,1237.0
SC54,2023/11/7,6,102.0
SC54,2023/11/17,12,172.0
SC54,2023/11/26,11,500.0
SC54,2023/11/24,0,162.0
SC54,2023/11/27,12,118.0
SC54,2023/11/24,15,226.0
SC54,2023/11/4,3,313.0
SC54,2023/11/6,13,885.0
SC54,2023/11/16,17,224.0
SC54,2023/11/27,15,260.0
SC54,2023/11/26,8,149.0
SC54,2023/11/10,10,602.0
SC54,2023/11/16,10,541.0
SC54,2023/11/17,9,486.0
SC54,2023/11/12,1,511.0
SC54,2023/11/9,16,715.0
SC54,2023/11/9,14,868.0
SC54,2023/11/11,9,708.75
SC54,2023/11/6,0,61.0
SC54,2023/11/26,13,448.0
SC54,2023/11/18,4,68.0
SC54,2023/11/5,23,949.0
SC54,2023/11/18,3,71.0
SC54,2023/11/9,6,111.0
SC54,2023/11/28,9,514.0
SC54,2023/11/4,9,602.0
SC54,2023/11/25,22,635.0
SC54,2023/11/30,9,407.0
SC54,2023/11/9,15,687.0
SC54,2023/11/10,3,260.0
SC54,2023/11/11,18,1313.0
SC54,2023/11/5,1,219.0
SC54,2023/11/21,10,601.0
SC54,2023/11/29,20,532.0
SC54,2023/11/28,3,95.0
SC54,2023/11/7,19,724.0
SC54,2023/11/1,5,442.75
SC54,2023/11/19,16,467.0
SC54,2023/11/2,18,1263.0
SC54,2023/11/11,2,622.125
SC54,2023/11/21,20,619.0
SC54,2023/11/15,9,394.0
SC54,2023/11/18,5,55.0
SC54,2023/11/3,21,1031.0
SC54,2023/11/6,1,241.0
SC54,2023/11/26,5,57.0
SC54,2023/11/27,3,70.0
SC54,2023/11/9,20,632.0
SC54,2023/11/9,17,290.0
SC54,2023/11/7,0,160.0
SC54,2023/11/21,19,597.0
SC54,2023/11/17,1,463.0
SC54,2023/11/10,6,98.0
SC54,2023/11/30,21,697.0
SC54,2023/11/25,12,109.0
SC54,2023/11/23,0,76.0
SC54,2023/11/11,21,1639.0
SC54,2023/11/11,12,634.875
SC54,2023/11/23,23,711.0
SC54,2023/11/7,13,581.0
SC54,2023/11/16,9,435.0
SC54,2023/11/14,11,574.0
SC54,2023/11/23,4,64.0
SC54,2023/11/5,17,222.0
SC54,2023/11/3,0,88.0
SC54,2023/11/13,20,955.0
SC54,2023/11/1,6,347.125
SC54,2023/11/17,16,744.0
SC54,2023/11/25,0,159.0
SC54,2023/11/8,3,268.0
SC54,2023/11/25,21,598.0
SC54,2023/11/5,10,705.0
SC54,2023/11/7,23,1044.0
SC54,2023/11/23,13,441.0
SC54,2023/11/22,11,553.0
SC54,2023/11/13,2,504.0
SC54,2023/11/23,11,547.0
SC54,2023/11/30,3,67.0
SC54,2023/11/24,5,66.0
SC54,2023/11/1,15,1455.0
SC54,2023/11/6,5,161.0
SC54,2023/11/20,11,535.0
SC54,2023/11/12,3,590.875
SC54,2023/11/27,14,155.0
SC54,2023/11/20,19,546.0
SC54,2023/11/2,2,571.0
SC54,2023/11/13,16,610.0
SC54,2023/11/7,4,186.0
SC54,2023/11/14,19,655.0
SC54,2023/11/22,1,64.0
SC54,2023/11/11,16,1516.0
SC54,2023/11/10,9,404.0
SC54,2023/11/11,23,1610.0
SC54,2023/11/24,6,75.0
SC54,2023/11/22,19,585.0
SC54,2023/11/3,4,231.0
SC54,2023/11/29,21,576.0
SC54,2023/11/30,16,657.0
SC54,2023/11/19,11,462.0
SC54,2023/11/20,1,69.0
SC54,2023/11/29,19,665.0
SC54,2023/11/3,13,858.0
SC54,2023/11/25,13,382.0
SC54,2023/11/28,16,1329.0
SC54,2023/11/1,9,708.75
SC54,2023/11/25,23,660.0
SC54,2023/11/11,4,483.0
SC54,2023/11/2,20,1166.0
SC54,2023/11/25,7,98.0
SC54,2023/11/11,7,274.5
SC54,2023/11/15,17,161.0
SC54,2023/11/30,13,439.0
SC54,2023/11/12,19,1234.5
SC54,2023/11/4,23,1508.0
SC54,2023/11/8,11,767.0
SC54,2023/11/12,11,1030.625
SC54,2023/11/28,13,455.0
SC54,2023/11/4,4,266.0
SC54,2023/11/14,12,86.0
SC54,2023/11/11,3,590.875
SC54,2023/11/3,17,336.0
SC54,2023/11/30,23,746.0
SC54,2023/11/1,7,274.5
SC54,2023/11/21,17,142.0
SC54,2023/11/2,12,401.0
SC54,2023/11/7,7,104.0
SC54,2023/11/26,6,54.0
SC54,2023/11/17,6,78.0
SC54,2023/11/27,6,69.0
SC54,2023/11/17,11,664.0
SC54,2023/11/21,13,441.0
SC54,2023/11/29,1,94.0
SC54,2023/11/2,1,452.0
SC54,2023/11/23,18,529.0
SC54,2023/11/13,9,423.0
SC54,2023/11/2,11,1030.625
SC54,2023/11/28,15,131.0
SC54,2023/11/21,4,79.0
SC54,2023/11/26,10,507.0
SC54,2023/11/8,19,816.0
SC54,2023/11/28,4,80.0
SC54,2023/11/17,10,527.0
SC54,2023/11/24,14,156.0
SC54,2023/11/3,16,660.0
SC54,2023/11/17,20,531.0
SC54,2023/11/19,12,114.0
SC54,2023/11/4,18,941.0
SC54,2023/11/7,1,261.0
SC54,2023/11/28,18,579.0
SC54,2023/11/25,18,804.0
SC54,2023/11/19,21,523.0
SC54,2023/11/22,0,44.0
SC54,2023/11/25,14,123.0
SC54,2023/11/24,22,613.0
SC54,2023/11/4,13,843.0
SC54,2023/11/3,23,1353.0
SC54,2023/11/29,12,196.0
SC54,2023/11/8,14,1043.0
SC54,2023/11/11,13,1455.375
SC54,2023/11/25,2,76.0
SC54,2023/11/30,8,150.0
SC54,2023/11/28,8,163.0
SC54,2023/11/3,2,322.0
SC54,2023/11/29,18,555.0
SC54,2023/11/11,20,1385.125
SC54,2023/11/1,14,1562.0
SC54,2023/11/20,17,148.0
SC54,2023/11/5,3,271.0
SC54,2023/11/8,0,149.0
SC54,2023/11/13,6,209.0
SC54,2023/11/27,23,632.0
SC54,2023/11/18,7,145.0
SC54,2023/11/18,22,584.0
SC54,2023/11/20,10,525.0
SC54,2023/11/30,1,93.0
SC54,2023/11/21,2,102.0
SC54,2023/11/22,17,161.0
SC54,2023/11/12,0,383.0
SC54,2023/11/6,12,338.0
SC54,2023/11/10,1,197.0
SC54,2023/11/4,8,191.0
SC54,2023/11/20,0,165.0
SC54,2023/11/25,17,137.0
SC54,2023/11/2,9,708.75
SC54,2023/11/1,22,1431.0
SC54,2023/11/11,17,713.0
SC54,2023/11/11,14,1505.0
SC54,2023/11/18,6,71.0
SC54,2023/11/7,14,838.0
SC54,2023/11/13,22,996.0
SC54,2023/11/6,16,675.0
SC54,2023/11/15,19,643.0
SC54,2023/11/14,21,701.0
SC54,2023/11/8,10,708.0
SC54,2023/11/3,3,316.0
SC54,2023/11/24,20,455.0
SC54,2023/11/22,21,595.0
SC54,2023/11/5,11,752.0
SC54,2023/11/23,19,569.0
SC54,2023/11/29,2,85.0
SC54,2023/11/9,0,319.0
SC54,2023/11/20,12,184.0
SC54,2023/11/5,19,735.0
SC54,2023/11/22,12,148.0
SC54,2023/11/12,17,713.0
SC54,2023/11/1,20,1298.0
SC54,2023/11/6,18,825.0
SC54,2023/11/29,9,447.0
SC54,2023/11/5,21,1013.0
SC54,2023/11/28,23,627.0
SC54,2023/11/11,10,967.5
SC54,2023/11/6,23,1063.0
SC54,2023/11/5,8,220.0
SC54,2023/11/22,9,495.0
SC54,2023/11/8,22,1191.0
SC54,2023/11/2,8,303.125
SC54,2023/11/13,7,145.0
SC54,2023/11/21,18,591.0
SC54,2023/11/26,14,110.0
SC54,2023/11/9,9,485.0
SC54,2023/11/3,14,788.0
SC54,2023/11/17,3,62.0
SC54,2023/11/26,0,113.0
SC54,2023/11/12,22,1238.0
SC54,2023/11/14,2,134.0
SC54,2023/11/27,8,123.0
SC54,2023/11/22,2,79.0
SC54,2023/11/17,2,172.0
SC54,2023/11/10,16,682.0
SC54,2023/11/19,2,98.0
SC54,2023/11/8,9,571.0
SC54,2023/11/28,11,581.0
SC54,2023/11/19,7,107.0
SC54,2023/11/15,2,108.0
SC54,2023/11/15,20,646.0
SC54,2023/11/30,19,563.0
SC54,2023/11/11,8,303.125
SC54,2023/11/4,11,764.0
SC54,2023/11/19,22,666.0
SC54,2023/11/28,19,582.0
SC54,2023/11/30,11,544.0
SC54,2023/11/12,9,708.75
SC54,2023/11/25,8,167.0
SC54,2023/11/1,18,1072.0
SC54,2023/11/3,8,232.0
SC54,2023/11/4,19,967.0
SC54,2023/11/24,18,509.0
SC54,2023/11/6,14,898.0
SC54,2023/11/23,21,642.0
SC54,2023/11/23,12,139.0
SC54,2023/11/2,22,1389.0
SC54,2023/11/29,22,665.0
SC54,2023/11/19,20,534.0
SC54,2023/11/15,6,62.0
SC54,2023/11/18,1,115.0
SC54,2023/11/7,12,299.0
SC54,2023/11/29,7,102.0
SC54,2023/11/2,7,274.5
SC54,2023/11/28,10,595.0
SC54,2023/11/4,17,427.0
SC54,2023/11/7,21,909.0
SC54,2023/11/5,9,571.0
SC54,2023/11/26,1,71.0
SC54,2023/11/8,8,203.0
SC54,2023/11/14,3,121.0
SC54,2023/11/22,3,69.0
SC54,2023/11/15,21,734.0
SC54,2023/11/9,23,957.0
SC54,2023/11/18,20,457.0
SC54,2023/11/9,13,848.0
SC54,2023/11/30,10,499.0
SC54,2023/11/28,17,138.0
SC54,2023/11/4,10,776.0
SC54,2023/11/1,16,1419.0
SC54,2023/11/30,17,213.0
SC54,2023/11/13,18,813.0
SC54,2023/11/26,20,548.0
SC54,2023/11/12,7,274.5
SC54,2023/11/15,15,388.0
SC54,2023/11/26,2,74.0
SC54,2023/11/24,16,973.0
SC54,2023/11/21,8,139.0
SC54,2023/11/25,20,482.0
SC54,2023/11/12,8,303.125
SC54,2023/11/20,3,70.0
SC54,2023/11/18,2,60.0
SC54,2023/11/5,0,338.0
SC54,2023/11/15,12,342.0
SC54,2023/11/9,4,236.0
SC54,2023/11/17,7,263.0
SC54,2023/11/17,22,621.0
SC54,2023/11/23,5,68.0
SC54,2023/11/21,21,637.0
SC54,2023/11/22,23,635.0
SC54,2023/11/14,13,533.0
SC54,2023/11/16,19,480.0
SC54,2023/11/10,19,220.0
SC54,2023/11/26,9,416.0
SC54,2023/11/21,12,145.0
SC54,2023/11/14,4,88.0
SC54,2023/11/23,15,191.0
SC54,2023/11/22,13,419.0
SC54,2023/11/19,0,83.0
SC54,2023/11/6,6,124.0
SC54,2023/11/20,13,331.0
SC54,2023/11/22,4,58.0
SC54,2023/11/18,9,525.0
SC54,2023/11/27,16,1119.0
SC54,2023/11/9,18,805.0
SC54,2023/11/16,11,586.0
SC54,2023/11/25,1,57.0
SC54,2023/11/7,15,795.0
SC54,2023/11/20,4,55.0
SC54,2023/11/14,23,760.0
SC54,2023/11/3,1,257.0
SC54,2023/11/20,23,775.0
SC54,2023/11/2,3,498.0
SC54,2023/11/11,1,511.0
SC54,2023/11/7,5,133.0
SC54,2023/11/10,11,994.0
SC54,2023/11/29,3,91.0
SC32,2023/11/6,21,259.0
SC32,2023/11/19,1,0.0
SC32,2023/11/27,20,188.0
SC32,2023/11/10,23,287.125
SC32,2023/11/18,19,160.0
SC32,2023/11/1,0,169.0
SC32,2023/11/3,16,180.0
SC32,2023/11/16,22,151.0
SC32,2023/11/5,16,173.0
SC32,2023/11/12,7,140.0
SC32,2023/11/25,20,164.0
SC32,2023/11/3,2,122.0
SC32,2023/11/29,18,98.0
SC32,2023/11/10,1,0.0
SC32,2023/11/18,0,32.0
SC32,2023/11/26,0,9.0
SC32,2023/11/4,8,237.0
SC32,2023/11/16,14,97.0
SC32,2023/11/24,1,0.0
SC32,2023/11/12,18,193.0
SC32,2023/11/24,20,498.875
SC32,2023/11/13,22,272.0
SC32,2023/11/1,2,380.0
SC32,2023/11/3,20,445.0
SC32,2023/11/8,22,251.0
SC32,2023/11/11,20,484.0
SC32,2023/11/1,14,478.0
SC32,2023/11/6,12,118.0
SC32,2023/11/19,16,105.0
SC32,2023/11/8,15,217.0
SC32,2023/11/2,23,287.125
SC32,2023/11/1,17,62.0
SC32,2023/11/12,22,240.0
SC32,2023/11/20,18,164.0
SC32,2023/11/23,22,187.0
SC32,2023/11/22,18,140.0
SC32,2023/11/12,5,278.0
SC32,2023/11/18,18,154.0
SC32,2023/11/10,22,468.5
SC32,2023/11/28,0,34.0
SC32,2023/11/27,11,63.0
SC32,2023/11/26,18,109.0
SC32,2023/11/30,20,210.0
SC32,2023/11/4,2,0.0
SC32,2023/11/10,13,19.0
SC32,2023/11/4,0,140.0
SC32,2023/11/27,19,237.0
SC32,2023/11/23,17,16.0
SC32,2023/11/2,14,303.0
SC32,2023/11/13,12,52.0
SC32,2023/11/28,20,305.0
SC32,2023/11/18,13,30.0
SC32,2023/11/21,0,1.0
SC32,2023/11/12,16,145.0
SC32,2023/11/1,11,194.0
SC32,2023/11/17,14,238.0
SC32,2023/11/7,10,109.0
SC32,2023/11/22,8,44.0
SC32,2023/11/21,16,117.0
SC32,2023/11/26,21,39.0
SC32,2023/11/7,20,316.0
SC32,2023/11/13,17,31.0
SC32,2023/11/27,22,131.0
SC32,2023/11/18,12,78.0
SC32,2023/11/20,16,129.0
SC32,2023/11/5,15,184.0
SC32,2023/11/18,21,136.0
SC32,2023/11/14,1,5.0
SC32,2023/11/24,21,149.0
SC32,2023/11/15,23,115.0
SC32,2023/11/24,14,180.0
SC32,2023/11/16,1,14.0
SC32,2023/11/25,2,0.0
SC32,2023/11/30,8,30.0
SC32,2023/11/2,18,287.0
SC32,2023/11/11,2,783.0
SC32,2023/11/23,0,41.0
SC32,2023/11/18,15,164.0
SC32,2023/11/11,15,383.875
SC32,2023/11/6,18,216.0
SC32,2023/11/25,17,32.0
SC32,2023/11/28,22,80.0
SC32,2023/11/4,22,292.0
SC32,2023/11/18,9,138.0
SC32,2023/11/24,17,49.0
SC32,2023/11/10,0,2.0
SC32,2023/11/1,21,432.5
SC32,2023/11/1,12,141.0
SC32,2023/11/16,0,227.0
SC32,2023/11/8,18,187.0
SC32,2023/11/22,1,0.0
SC32,2023/11/19,14,105.0
SC32,2023/11/28,8,37.0
SC32,2023/11/7,22,250.0
SC32,2023/11/7,18,265.0
SC32,2023/11/23,18,171.0
SC32,2023/11/1,8,248.0
SC32,2023/11/11,23,192.0
