Sorting_Center,Date,Shift,Employee
SC60,2023-12-01,Shift4,FullTime(151)
SC60,2023-12-01,Shift4,FullTime(156)
SC60,2023-12-01,Shift4,FullTime(157)
SC60,2023-12-01,Shift4,FullTime(166)
SC60,2023-12-01,Shift4,FullTime(181)
SC60,2023-12-01,Shift4,FullTime(188)
SC60,2023-12-01,Shift4,Temp(0)
SC60,2023-12-01,Shift5,FullTime(0)
SC60,2023-12-01,Shift5,FullTime(1)
SC60,2023-12-01,Shift5,FullTime(5)
SC60,2023-12-01,Shift5,FullTime(11)
SC60,2023-12-01,Shift5,FullTime(12)
SC60,2023-12-01,Shift5,FullTime(13)
SC60,2023-12-01,Shift5,FullTime(14)
SC60,2023-12-01,Shift5,FullTime(45)
SC60,2023-12-01,Shift5,FullTime(47)
SC60,2023-12-01,Shift5,FullTime(51)
SC60,2023-12-01,Shift5,FullTime(53)
SC60,2023-12-01,Shift5,FullTime(54)
SC60,2023-12-01,Shift5,FullTime(59)
SC60,2023-12-01,Shift5,FullTime(61)
SC60,2023-12-01,Shift5,FullTime(64)
SC60,2023-12-01,Shift5,FullTime(67)
SC60,2023-12-01,Shift5,FullTime(77)
SC60,2023-12-01,Shift5,FullTime(79)
SC60,2023-12-01,Shift5,FullTime(81)
SC60,2023-12-01,Shift5,FullTime(83)
SC60,2023-12-01,Shift5,FullTime(84)
SC60,2023-12-01,Shift5,FullTime(85)
SC60,2023-12-01,Shift5,FullTime(87)
SC60,2023-12-01,Shift5,FullTime(89)
SC60,2023-12-01,Shift5,FullTime(90)
SC60,2023-12-01,Shift5,FullTime(91)
SC60,2023-12-01,Shift5,FullTime(92)
SC60,2023-12-01,Shift5,FullTime(95)
SC60,2023-12-01,Shift5,FullTime(96)
SC60,2023-12-01,Shift5,FullTime(100)
SC60,2023-12-01,Shift5,FullTime(101)
SC60,2023-12-01,Shift5,FullTime(102)
SC60,2023-12-01,Shift5,FullTime(103)
SC60,2023-12-01,Shift5,FullTime(105)
SC60,2023-12-01,Shift5,FullTime(106)
SC60,2023-12-01,Shift5,FullTime(107)
SC60,2023-12-01,Shift5,FullTime(108)
SC60,2023-12-01,Shift5,FullTime(109)
SC60,2023-12-01,Shift5,FullTime(110)
SC60,2023-12-01,Shift5,FullTime(111)
SC60,2023-12-01,Shift5,FullTime(112)
SC60,2023-12-01,Shift5,FullTime(113)
SC60,2023-12-01,Shift5,FullTime(114)
SC60,2023-12-01,Shift5,FullTime(115)
SC60,2023-12-01,Shift5,FullTime(116)
SC60,2023-12-01,Shift5,FullTime(117)
SC60,2023-12-01,Shift5,FullTime(118)
SC60,2023-12-01,Shift5,FullTime(119)
SC60,2023-12-01,Shift5,FullTime(120)
SC60,2023-12-01,Shift5,FullTime(121)
SC60,2023-12-01,Shift5,FullTime(122)
SC60,2023-12-01,Shift5,FullTime(123)
SC60,2023-12-01,Shift5,FullTime(124)
SC60,2023-12-01,Shift5,FullTime(125)
SC60,2023-12-01,Shift5,FullTime(126)
SC60,2023-12-01,Shift5,FullTime(127)
SC60,2023-12-01,Shift5,FullTime(128)
SC60,2023-12-01,Shift5,FullTime(129)
SC60,2023-12-01,Shift5,FullTime(130)
SC60,2023-12-01,Shift5,FullTime(131)
SC60,2023-12-01,Shift5,FullTime(132)
SC60,2023-12-01,Shift5,FullTime(133)
SC60,2023-12-01,Shift5,FullTime(134)
SC60,2023-12-01,Shift5,FullTime(135)
SC60,2023-12-01,Shift5,FullTime(136)
SC60,2023-12-01,Shift5,FullTime(137)
SC60,2023-12-01,Shift5,FullTime(138)
SC60,2023-12-01,Shift5,FullTime(139)
SC60,2023-12-01,Shift5,FullTime(140)
SC60,2023-12-01,Shift5,FullTime(142)
SC60,2023-12-01,Shift5,FullTime(151)
SC60,2023-12-01,Shift5,FullTime(152)
SC60,2023-12-01,Shift5,FullTime(153)
SC60,2023-12-01,Shift5,FullTime(155)
SC60,2023-12-01,Shift5,FullTime(156)
SC60,2023-12-01,Shift5,FullTime(166)
SC60,2023-12-01,Shift5,FullTime(173)
SC60,2023-12-01,Shift5,FullTime(181)
SC60,2023-12-01,Shift5,FullTime(185)
SC60,2023-12-01,Shift5,FullTime(188)
SC60,2023-12-01,Shift5,Temp(0)
SC60,2023-12-01,Shift6,FullTime(0)
SC60,2023-12-01,Shift6,FullTime(1)
SC60,2023-12-01,Shift6,FullTime(4)
SC60,2023-12-01,Shift6,FullTime(5)
SC60,2023-12-01,Shift6,FullTime(10)
SC60,2023-12-01,Shift6,FullTime(11)
SC60,2023-12-01,Shift6,FullTime(12)
SC60,2023-12-01,Shift6,FullTime(13)
SC60,2023-12-01,Shift6,FullTime(14)
SC60,2023-12-01,Shift6,FullTime(16)
SC60,2023-12-01,Shift6,FullTime(39)
SC60,2023-12-01,Shift6,FullTime(47)
SC60,2023-12-01,Shift6,FullTime(48)
SC60,2023-12-01,Shift6,FullTime(51)
SC60,2023-12-01,Shift6,FullTime(52)
SC60,2023-12-01,Shift6,FullTime(53)
SC60,2023-12-01,Shift6,FullTime(54)
SC60,2023-12-01,Shift6,FullTime(55)
SC60,2023-12-01,Shift6,FullTime(59)
SC60,2023-12-01,Shift6,FullTime(60)
SC60,2023-12-01,Shift6,FullTime(62)
SC60,2023-12-01,Shift6,FullTime(64)
SC60,2023-12-01,Shift6,FullTime(67)
SC60,2023-12-01,Shift6,FullTime(79)
SC60,2023-12-01,Shift6,FullTime(80)
SC60,2023-12-01,Shift6,FullTime(81)
SC60,2023-12-01,Shift6,FullTime(83)
SC60,2023-12-01,Shift6,FullTime(84)
SC60,2023-12-01,Shift6,FullTime(85)
SC60,2023-12-01,Shift6,FullTime(87)
SC60,2023-12-01,Shift6,FullTime(89)
SC60,2023-12-01,Shift6,FullTime(90)
SC60,2023-12-01,Shift6,FullTime(92)
SC60,2023-12-01,Shift6,FullTime(93)
SC60,2023-12-01,Shift6,FullTime(95)
SC60,2023-12-01,Shift6,FullTime(96)
SC60,2023-12-01,Shift6,FullTime(100)
SC60,2023-12-01,Shift6,FullTime(101)
SC60,2023-12-01,Shift6,FullTime(102)
SC60,2023-12-01,Shift6,FullTime(103)
SC60,2023-12-01,Shift6,FullTime(104)
SC60,2023-12-01,Shift6,FullTime(105)
SC60,2023-12-01,Shift6,FullTime(106)
SC60,2023-12-01,Shift6,FullTime(107)
SC60,2023-12-01,Shift6,FullTime(108)
SC60,2023-12-01,Shift6,FullTime(109)
SC60,2023-12-01,Shift6,FullTime(110)
SC60,2023-12-01,Shift6,FullTime(111)
SC60,2023-12-01,Shift6,FullTime(112)
SC60,2023-12-01,Shift6,FullTime(113)
SC60,2023-12-01,Shift6,FullTime(114)
SC60,2023-12-01,Shift6,FullTime(115)
SC60,2023-12-01,Shift6,FullTime(116)
SC60,2023-12-01,Shift6,FullTime(117)
SC60,2023-12-01,Shift6,FullTime(118)
SC60,2023-12-01,Shift6,FullTime(119)
SC60,2023-12-01,Shift6,FullTime(120)
SC60,2023-12-01,Shift6,FullTime(121)
SC60,2023-12-01,Shift6,FullTime(122)
SC60,2023-12-01,Shift6,FullTime(123)
SC60,2023-12-01,Shift6,FullTime(124)
SC60,2023-12-01,Shift6,FullTime(126)
SC60,2023-12-01,Shift6,FullTime(127)
SC60,2023-12-01,Shift6,FullTime(128)
SC60,2023-12-01,Shift6,FullTime(129)
SC60,2023-12-01,Shift6,FullTime(130)
SC60,2023-12-01,Shift6,FullTime(131)
SC60,2023-12-01,Shift6,FullTime(132)
SC60,2023-12-01,Shift6,FullTime(133)
SC60,2023-12-01,Shift6,FullTime(134)
SC60,2023-12-01,Shift6,FullTime(135)
SC60,2023-12-01,Shift6,FullTime(136)
SC60,2023-12-01,Shift6,FullTime(137)
SC60,2023-12-01,Shift6,FullTime(138)
SC60,2023-12-01,Shift6,FullTime(139)
SC60,2023-12-01,Shift6,FullTime(140)
SC60,2023-12-01,Shift6,FullTime(141)
SC60,2023-12-01,Shift6,FullTime(143)
SC60,2023-12-01,Shift6,FullTime(144)
SC60,2023-12-01,Shift6,FullTime(147)
SC60,2023-12-01,Shift6,FullTime(151)
SC60,2023-12-01,Shift6,FullTime(152)
SC60,2023-12-01,Shift6,FullTime(153)
SC60,2023-12-01,Shift6,FullTime(154)
SC60,2023-12-01,Shift6,FullTime(155)
SC60,2023-12-01,Shift6,FullTime(159)
SC60,2023-12-01,Shift6,FullTime(166)
SC60,2023-12-01,Shift6,FullTime(173)
SC60,2023-12-01,Shift6,FullTime(179)
SC60,2023-12-01,Shift6,FullTime(185)
SC60,2023-12-01,Shift6,FullTime(187)
SC60,2023-12-01,Shift6,FullTime(188)
SC60,2023-12-01,Shift6,FullTime(189)
SC60,2023-12-01,Shift6,FullTime(194)
SC60,2023-12-01,Shift6,FullTime(195)
SC60,2023-12-01,Shift6,FullTime(198)
SC60,2023-12-01,Shift6,Temp(0)
SC60,2023-12-02,Shift1,FullTime(15)
SC60,2023-12-02,Shift1,FullTime(52)
SC60,2023-12-02,Shift1,FullTime(55)
SC60,2023-12-02,Shift1,FullTime(95)
SC60,2023-12-02,Shift1,FullTime(104)
SC60,2023-12-02,Shift1,FullTime(141)
SC60,2023-12-02,Shift1,FullTime(142)
SC60,2023-12-02,Shift1,FullTime(143)
SC60,2023-12-02,Shift1,FullTime(144)
SC60,2023-12-02,Shift1,FullTime(145)
SC60,2023-12-02,Shift1,FullTime(146)
SC60,2023-12-02,Shift1,FullTime(147)
SC60,2023-12-02,Shift1,FullTime(148)
SC60,2023-12-02,Shift1,FullTime(149)
SC60,2023-12-02,Shift1,FullTime(198)
SC60,2023-12-02,Shift1,Temp(0)
SC60,2023-12-02,Shift2,FullTime(0)
SC60,2023-12-02,Shift2,FullTime(1)
SC60,2023-12-02,Shift2,FullTime(10)
SC60,2023-12-02,Shift2,FullTime(13)
SC60,2023-12-02,Shift2,FullTime(15)
SC60,2023-12-02,Shift2,FullTime(16)
SC60,2023-12-02,Shift2,FullTime(45)
SC60,2023-12-02,Shift2,FullTime(47)
SC60,2023-12-02,Shift2,FullTime(48)
SC60,2023-12-02,Shift2,FullTime(51)
SC60,2023-12-02,Shift2,FullTime(52)
SC60,2023-12-02,Shift2,FullTime(55)
SC60,2023-12-02,Shift2,FullTime(91)
SC60,2023-12-02,Shift2,FullTime(100)
SC60,2023-12-02,Shift2,FullTime(101)
SC60,2023-12-02,Shift2,FullTime(104)
SC60,2023-12-02,Shift2,FullTime(124)
SC60,2023-12-02,Shift2,FullTime(125)
SC60,2023-12-02,Shift2,FullTime(128)
SC60,2023-12-02,Shift2,FullTime(134)
SC60,2023-12-02,Shift2,FullTime(137)
SC60,2023-12-02,Shift2,FullTime(141)
SC60,2023-12-02,Shift2,FullTime(142)
SC60,2023-12-02,Shift2,FullTime(144)
SC60,2023-12-02,Shift2,FullTime(145)
SC60,2023-12-02,Shift2,FullTime(146)
SC60,2023-12-02,Shift2,FullTime(147)
SC60,2023-12-02,Shift2,FullTime(148)
SC60,2023-12-02,Shift2,FullTime(151)
SC60,2023-12-02,Shift2,FullTime(162)
SC60,2023-12-02,Shift2,FullTime(164)
SC60,2023-12-02,Shift2,FullTime(165)
SC60,2023-12-02,Shift2,FullTime(166)
SC60,2023-12-02,Shift2,FullTime(173)
SC60,2023-12-02,Shift2,FullTime(181)
SC60,2023-12-02,Shift2,FullTime(185)
SC60,2023-12-02,Shift2,FullTime(188)
SC60,2023-12-02,Shift2,FullTime(189)
SC60,2023-12-02,Shift2,FullTime(198)
SC60,2023-12-02,Shift2,Temp(0)
SC60,2023-12-02,Shift3,FullTime(0)
SC60,2023-12-02,Shift3,FullTime(1)
SC60,2023-12-02,Shift3,FullTime(10)
SC60,2023-12-02,Shift3,FullTime(13)
SC60,2023-12-02,Shift3,FullTime(14)
SC60,2023-12-02,Shift3,FullTime(15)
SC60,2023-12-02,Shift3,FullTime(16)
SC60,2023-12-02,Shift3,FullTime(47)
SC60,2023-12-02,Shift3,FullTime(48)
SC60,2023-12-02,Shift3,FullTime(51)
SC60,2023-12-02,Shift3,FullTime(52)
SC60,2023-12-02,Shift3,FullTime(55)
SC60,2023-12-02,Shift3,FullTime(91)
SC60,2023-12-02,Shift3,FullTime(95)
SC60,2023-12-02,Shift3,FullTime(100)
SC60,2023-12-02,Shift3,FullTime(101)
SC60,2023-12-02,Shift3,FullTime(102)
SC60,2023-12-02,Shift3,FullTime(104)
SC60,2023-12-02,Shift3,FullTime(112)
SC60,2023-12-02,Shift3,FullTime(117)
SC60,2023-12-02,Shift3,FullTime(118)
SC60,2023-12-02,Shift3,FullTime(125)
SC60,2023-12-02,Shift3,FullTime(126)
SC60,2023-12-02,Shift3,FullTime(127)
SC60,2023-12-02,Shift3,FullTime(130)
SC60,2023-12-02,Shift3,FullTime(131)
SC60,2023-12-02,Shift3,FullTime(132)
SC60,2023-12-02,Shift3,FullTime(133)
SC60,2023-12-02,Shift3,FullTime(134)
SC60,2023-12-02,Shift3,FullTime(135)
SC60,2023-12-02,Shift3,FullTime(136)
SC60,2023-12-02,Shift3,FullTime(137)
SC60,2023-12-02,Shift3,FullTime(138)
SC60,2023-12-02,Shift3,FullTime(139)
SC60,2023-12-02,Shift3,FullTime(141)
SC60,2023-12-02,Shift3,FullTime(144)
SC60,2023-12-02,Shift3,FullTime(145)
SC60,2023-12-02,Shift3,FullTime(146)
SC60,2023-12-02,Shift3,FullTime(147)
SC60,2023-12-02,Shift3,FullTime(148)
SC60,2023-12-02,Shift3,FullTime(149)
SC60,2023-12-02,Shift3,FullTime(150)
SC60,2023-12-02,Shift3,FullTime(154)
SC60,2023-12-02,Shift3,FullTime(155)
SC60,2023-12-02,Shift3,FullTime(160)
SC60,2023-12-02,Shift3,FullTime(161)
SC60,2023-12-02,Shift3,FullTime(162)
SC60,2023-12-02,Shift3,FullTime(164)
SC60,2023-12-02,Shift3,FullTime(165)
SC60,2023-12-02,Shift3,FullTime(173)
SC60,2023-12-02,Shift3,FullTime(181)
SC60,2023-12-02,Shift3,FullTime(185)
SC60,2023-12-02,Shift3,FullTime(188)
SC60,2023-12-02,Shift3,FullTime(189)
SC60,2023-12-02,Shift3,Temp(0)
SC60,2023-12-02,Shift4,FullTime(0)
SC60,2023-12-02,Shift4,FullTime(1)
SC60,2023-12-02,Shift4,FullTime(2)
SC60,2023-12-02,Shift4,FullTime(10)
SC60,2023-12-02,Shift4,FullTime(11)
SC60,2023-12-02,Shift4,FullTime(12)
SC60,2023-12-02,Shift4,FullTime(13)
SC60,2023-12-02,Shift4,FullTime(14)
SC60,2023-12-02,Shift4,FullTime(15)
SC60,2023-12-02,Shift4,FullTime(16)
SC60,2023-12-02,Shift4,FullTime(37)
SC60,2023-12-02,Shift4,FullTime(45)
SC60,2023-12-02,Shift4,FullTime(46)
SC60,2023-12-02,Shift4,FullTime(48)
SC60,2023-12-02,Shift4,FullTime(51)
SC60,2023-12-02,Shift4,FullTime(52)
SC60,2023-12-02,Shift4,FullTime(55)
SC60,2023-12-02,Shift4,FullTime(91)
SC60,2023-12-02,Shift4,FullTime(95)
SC60,2023-12-02,Shift4,FullTime(100)
SC60,2023-12-02,Shift4,FullTime(101)
SC60,2023-12-02,Shift4,FullTime(102)
SC60,2023-12-02,Shift4,FullTime(103)
SC60,2023-12-02,Shift4,FullTime(104)
SC60,2023-12-02,Shift4,FullTime(105)
SC60,2023-12-02,Shift4,FullTime(107)
SC60,2023-12-02,Shift4,FullTime(108)
SC60,2023-12-02,Shift4,FullTime(109)
SC60,2023-12-02,Shift4,FullTime(110)
SC60,2023-12-02,Shift4,FullTime(111)
SC60,2023-12-02,Shift4,FullTime(112)
SC60,2023-12-02,Shift4,FullTime(113)
SC60,2023-12-02,Shift4,FullTime(114)
SC60,2023-12-02,Shift4,FullTime(115)
SC60,2023-12-02,Shift4,FullTime(116)
SC60,2023-12-02,Shift4,FullTime(117)
SC60,2023-12-02,Shift4,FullTime(118)
SC60,2023-12-02,Shift4,FullTime(120)
SC60,2023-12-02,Shift4,FullTime(121)
SC60,2023-12-02,Shift4,FullTime(122)
SC60,2023-12-02,Shift4,FullTime(123)
SC60,2023-12-02,Shift4,FullTime(124)
SC60,2023-12-02,Shift4,FullTime(125)
SC60,2023-12-02,Shift4,FullTime(126)
SC60,2023-12-02,Shift4,FullTime(129)
SC60,2023-12-02,Shift4,FullTime(130)
SC60,2023-12-02,Shift4,FullTime(131)
SC60,2023-12-02,Shift4,FullTime(132)
SC60,2023-12-02,Shift4,FullTime(134)
SC60,2023-12-02,Shift4,FullTime(135)
SC60,2023-12-02,Shift4,FullTime(136)
SC60,2023-12-02,Shift4,FullTime(137)
SC60,2023-12-02,Shift4,FullTime(138)
SC60,2023-12-02,Shift4,FullTime(139)
SC60,2023-12-02,Shift4,FullTime(141)
SC60,2023-12-02,Shift4,FullTime(143)
SC60,2023-12-02,Shift4,FullTime(144)
SC60,2023-12-02,Shift4,FullTime(145)
SC60,2023-12-02,Shift4,FullTime(147)
SC60,2023-12-02,Shift4,FullTime(148)
SC60,2023-12-02,Shift4,FullTime(150)
SC60,2023-12-02,Shift4,FullTime(151)
SC60,2023-12-02,Shift4,FullTime(152)
SC60,2023-12-02,Shift4,FullTime(153)
SC60,2023-12-02,Shift4,FullTime(155)
SC60,2023-12-02,Shift4,FullTime(156)
SC60,2023-12-02,Shift4,FullTime(157)
SC60,2023-12-02,Shift4,FullTime(158)
SC60,2023-12-02,Shift4,FullTime(159)
SC60,2023-12-02,Shift4,FullTime(161)
SC60,2023-12-02,Shift4,FullTime(162)
SC60,2023-12-02,Shift4,FullTime(165)
SC60,2023-12-02,Shift4,FullTime(166)
SC60,2023-12-02,Shift4,FullTime(167)
SC60,2023-12-02,Shift4,FullTime(173)
SC60,2023-12-02,Shift4,FullTime(177)
SC60,2023-12-02,Shift4,FullTime(181)
SC60,2023-12-02,Shift4,FullTime(185)
SC60,2023-12-02,Shift4,FullTime(187)
SC60,2023-12-02,Shift4,FullTime(188)
SC60,2023-12-02,Shift4,FullTime(189)
SC60,2023-12-02,Shift4,Temp(0)
SC60,2023-12-02,Shift5,FullTime(0)
SC60,2023-12-02,Shift5,FullTime(1)
SC60,2023-12-02,Shift5,FullTime(2)
SC60,2023-12-02,Shift5,FullTime(10)
SC60,2023-12-02,Shift5,FullTime(11)
SC60,2023-12-02,Shift5,FullTime(12)
SC60,2023-12-02,Shift5,FullTime(13)
SC60,2023-12-02,Shift5,FullTime(15)
SC60,2023-12-02,Shift5,FullTime(16)
SC60,2023-12-02,Shift5,FullTime(20)
SC60,2023-12-02,Shift5,FullTime(21)
SC60,2023-12-02,Shift5,FullTime(40)
SC60,2023-12-02,Shift5,FullTime(41)
SC60,2023-12-02,Shift5,FullTime(44)
SC60,2023-12-02,Shift5,FullTime(46)
SC60,2023-12-02,Shift5,FullTime(47)
SC60,2023-12-02,Shift5,FullTime(48)
SC60,2023-12-02,Shift5,FullTime(50)
SC60,2023-12-02,Shift5,FullTime(51)
SC60,2023-12-02,Shift5,FullTime(52)
SC60,2023-12-02,Shift5,FullTime(55)
SC60,2023-12-02,Shift5,FullTime(88)
SC60,2023-12-02,Shift5,FullTime(91)
SC60,2023-12-02,Shift5,FullTime(94)
SC60,2023-12-02,Shift5,FullTime(95)
SC60,2023-12-02,Shift5,FullTime(101)
SC60,2023-12-02,Shift5,FullTime(102)
SC60,2023-12-02,Shift5,FullTime(103)
SC60,2023-12-02,Shift5,FullTime(104)
SC60,2023-12-02,Shift5,FullTime(106)
SC60,2023-12-02,Shift5,FullTime(107)
SC60,2023-12-02,Shift5,FullTime(108)
SC60,2023-12-02,Shift5,FullTime(109)
SC60,2023-12-02,Shift5,FullTime(110)
SC60,2023-12-02,Shift5,FullTime(111)
SC60,2023-12-02,Shift5,FullTime(112)
SC60,2023-12-02,Shift5,FullTime(113)
SC60,2023-12-02,Shift5,FullTime(114)
SC60,2023-12-02,Shift5,FullTime(115)
SC60,2023-12-02,Shift5,FullTime(116)
SC60,2023-12-02,Shift5,FullTime(117)
SC60,2023-12-02,Shift5,FullTime(118)
SC60,2023-12-02,Shift5,FullTime(119)
SC60,2023-12-02,Shift5,FullTime(120)
SC60,2023-12-02,Shift5,FullTime(121)
SC60,2023-12-02,Shift5,FullTime(122)
SC60,2023-12-02,Shift5,FullTime(123)
SC60,2023-12-02,Shift5,FullTime(125)
SC60,2023-12-02,Shift5,FullTime(126)
SC60,2023-12-02,Shift5,FullTime(127)
SC60,2023-12-02,Shift5,FullTime(128)
SC60,2023-12-02,Shift5,FullTime(129)
SC60,2023-12-02,Shift5,FullTime(130)
SC60,2023-12-02,Shift5,FullTime(131)
SC60,2023-12-02,Shift5,FullTime(132)
SC60,2023-12-02,Shift5,FullTime(133)
SC60,2023-12-02,Shift5,FullTime(134)
SC60,2023-12-02,Shift5,FullTime(135)
SC60,2023-12-02,Shift5,FullTime(136)
SC60,2023-12-02,Shift5,FullTime(137)
SC60,2023-12-02,Shift5,FullTime(138)
SC60,2023-12-02,Shift5,FullTime(139)
SC60,2023-12-02,Shift5,FullTime(140)
SC60,2023-12-02,Shift5,FullTime(141)
SC60,2023-12-02,Shift5,FullTime(142)
SC60,2023-12-02,Shift5,FullTime(143)
SC60,2023-12-02,Shift5,FullTime(145)
SC60,2023-12-02,Shift5,FullTime(146)
SC60,2023-12-02,Shift5,FullTime(147)
SC60,2023-12-02,Shift5,FullTime(148)
SC60,2023-12-02,Shift5,FullTime(149)
SC60,2023-12-02,Shift5,FullTime(150)
SC60,2023-12-02,Shift5,FullTime(151)
SC60,2023-12-02,Shift5,FullTime(152)
SC60,2023-12-02,Shift5,FullTime(153)
SC60,2023-12-02,Shift5,FullTime(154)
SC60,2023-12-02,Shift5,FullTime(156)
SC60,2023-12-02,Shift5,FullTime(157)
SC60,2023-12-02,Shift5,FullTime(158)
SC60,2023-12-02,Shift5,FullTime(159)
SC60,2023-12-02,Shift5,FullTime(160)
SC60,2023-12-02,Shift5,FullTime(161)
SC60,2023-12-02,Shift5,FullTime(162)
SC60,2023-12-02,Shift5,FullTime(163)
SC60,2023-12-02,Shift5,FullTime(165)
SC60,2023-12-02,Shift5,FullTime(166)
SC60,2023-12-02,Shift5,FullTime(167)
SC60,2023-12-02,Shift5,FullTime(173)
SC60,2023-12-02,Shift5,FullTime(174)
SC60,2023-12-02,Shift5,FullTime(179)
SC60,2023-12-02,Shift5,FullTime(181)
SC60,2023-12-02,Shift5,FullTime(185)
SC60,2023-12-02,Shift5,FullTime(187)
SC60,2023-12-02,Shift5,FullTime(188)
SC60,2023-12-02,Shift5,FullTime(193)
SC60,2023-12-02,Shift5,FullTime(195)
SC60,2023-12-02,Shift5,FullTime(199)
SC60,2023-12-02,Shift5,Temp(0)
SC60,2023-12-02,Shift6,FullTime(0)
SC60,2023-12-02,Shift6,FullTime(1)
SC60,2023-12-02,Shift6,FullTime(4)
SC60,2023-12-02,Shift6,FullTime(9)
SC60,2023-12-02,Shift6,FullTime(10)
SC60,2023-12-02,Shift6,FullTime(11)
SC60,2023-12-02,Shift6,FullTime(12)
SC60,2023-12-02,Shift6,FullTime(13)
SC60,2023-12-02,Shift6,FullTime(14)
SC60,2023-12-02,Shift6,FullTime(15)
SC60,2023-12-02,Shift6,FullTime(20)
SC60,2023-12-02,Shift6,FullTime(21)
SC60,2023-12-02,Shift6,FullTime(22)
SC60,2023-12-02,Shift6,FullTime(23)
SC60,2023-12-02,Shift6,FullTime(24)
SC60,2023-12-02,Shift6,FullTime(33)
SC60,2023-12-02,Shift6,FullTime(34)
SC60,2023-12-02,Shift6,FullTime(36)
SC60,2023-12-02,Shift6,FullTime(37)
SC60,2023-12-02,Shift6,FullTime(39)
SC60,2023-12-02,Shift6,FullTime(40)
SC60,2023-12-02,Shift6,FullTime(41)
SC60,2023-12-02,Shift6,FullTime(42)
SC60,2023-12-02,Shift6,FullTime(44)
SC60,2023-12-02,Shift6,FullTime(45)
SC60,2023-12-02,Shift6,FullTime(48)
SC60,2023-12-02,Shift6,FullTime(50)
SC60,2023-12-02,Shift6,FullTime(51)
SC60,2023-12-02,Shift6,FullTime(52)
SC60,2023-12-02,Shift6,FullTime(53)
SC60,2023-12-02,Shift6,FullTime(54)
SC60,2023-12-02,Shift6,FullTime(55)
SC60,2023-12-02,Shift6,FullTime(59)
SC60,2023-12-02,Shift6,FullTime(62)
SC60,2023-12-02,Shift6,FullTime(64)
SC60,2023-12-02,Shift6,FullTime(65)
SC60,2023-12-02,Shift6,FullTime(67)
SC60,2023-12-02,Shift6,FullTime(68)
SC60,2023-12-02,Shift6,FullTime(72)
SC60,2023-12-02,Shift6,FullTime(77)
SC60,2023-12-02,Shift6,FullTime(80)
SC60,2023-12-02,Shift6,FullTime(81)
